"","MeasNum","OrigName","CleanName"
"61",426,"fBodyGyro-mean()-Z","f.Body.Gyro.mean.Z"
"62",427,"fBodyGyro-std()-X","f.Body.Gyro.std.X"
"63",428,"fBodyGyro-std()-Y","f.Body.Gyro.std.Y"
"64",429,"fBodyGyro-std()-Z","f.Body.Gyro.std.Z"
"65",452,"fBodyGyro-meanFreq()-X","f.Body.Gyro.mean.Freq.X"
"66",453,"fBodyGyro-meanFreq()-Y","f.Body.Gyro.mean.Freq.Y"
"67",454,"fBodyGyro-meanFreq()-Z","f.Body.Gyro.mean.Freq.Z"
"68",503,"fBodyAccMag-mean()","f.Body.Acc.Mag.mean"
"69",504,"fBodyAccMag-std()","f.Body.Acc.Mag.std"
"70",513,"fBodyAccMag-meanFreq()","f.Body.Acc.Mag.mean.Freq"
"71",516,"fBodyBodyAccJerkMag-mean()","f.Body.Acc.Jerk.Mag.mean"
"72",517,"fBodyBodyAccJerkMag-std()","f.Body.Acc.Jerk.Mag.std"
"73",526,"fBodyBodyAccJerkMag-meanFreq()","f.Body.Acc.Jerk.Mag.mean.Freq"
"74",529,"fBodyBodyGyroMag-mean()","f.Body.Gyro.Mag.mean"
"75",530,"fBodyBodyGyroMag-std()","f.Body.Gyro.Mag.std"
"76",539,"fBodyBodyGyroMag-meanFreq()","f.Body.Gyro.Mag.mean.Freq"
"77",542,"fBodyBodyGyroJerkMag-mean()","f.Body.Gyro.Jerk.Mag.mean"
"78",543,"fBodyBodyGyroJerkMag-std()","f.Body.Gyro.Jerk.Mag.std"
"79",552,"fBodyBodyGyroJerkMag-meanFreq()","f.Body.Gyro.Jerk.Mag.mean.Freq"
"80",555,"angle(tBodyAccMean,gravity)","angle.t.Body.Acc.Mean.gravity"
"81",556,"angle(tBodyAccJerkMean),gravityMean)","angle.t.Body.Acc.Jerk.Mean.gravity.Mean"
"82",557,"angle(tBodyGyroMean,gravityMean)","angle.t.Body.Gyro.Mean.gravity.Mean"
"83",558,"angle(tBodyGyroJerkMean,gravityMean)","angle.t.Body.Gyro.Jerk.Mean.gravity.Mean"
"84",559,"angle(X,gravityMean)","angle.X.gravity.Mean"
"85",560,"angle(Y,gravityMean)","angle.Y.gravity.Mean"
"86",561,"angle(Z,gravityMean)","angle.Z.gravity.Mean"
